1.000000000000000056e-01 5.734387303050575597e-03 2.444418711827599580e-02 4.336208468137653024e-03 2.608600582615644425e-01
2.000000000000000111e-01 7.501548623078850044e-03 1.785674388059080298e-02 1.769550293796947393e+00 2.473757580150440574e-02
3.000000000000000444e-01 8.917950801648066514e-03 1.503612456427246002e-02 1.855493549862045096e+06 1.712056916298130898e-03
4.000000000000000222e-01 8.763239778979456385e-03 1.577049541091985960e-02 6.169992414298125267e+09 7.844809572201540224e-05
5.000000000000000000e-01 9.251802897496020153e-03 1.551845184949256044e-02 1.945626004540134033e+12 2.046244310456536785e-06
5.999999999999999778e-01 1.172364950297167738e-02 1.545117085153759062e-02 1.687561552773363125e+14 2.359159069204753587e-08
7.000000000000000666e-01 1.485600946941416367e-02 1.626880995055085197e-02 6.469705965815075000e+15 7.481393406106479357e-11
8.000000000000000444e-01 2.302121998998234165e-02 1.619079851141351847e-02 1.411953310433322560e+17 2.249869412617441786e-14
9.000000000000000222e-01 3.626528901609226557e-02 1.607441033641263117e-02 2.040136733336675584e+18 2.145642674081284458e-20
1.000000000000000000e+00 3.710631872451393420e-02 1.581445800878435171e-02 2.151343330446299546e+19 0.000000000000000000e+00
1.100000000000000089e+00 4.355468219984397898e-02 1.722291507827136692e-02 1.769536542760886600e+20 2.145642674081331403e-20
1.200000000000000178e+00 2.208951061228464283e-02 1.737441589835858960e-02 1.190455700175367700e+21 2.249869412617495744e-14
1.300000000000000266e+00 8.814297078275908776e-03 1.660962900646041976e-02 6.783978402810524860e+21 7.481393406106662888e-11
1.400000000000000133e+00 3.061167124364978873e-03 1.931265871464947492e-02 3.362997789349845244e+22 2.359159069204766160e-08
1.500000000000000222e+00 8.725816063033769564e-04 2.071620988103641328e-02 1.480540354440934489e+23 2.046244310456549490e-06
1.600000000000000089e+00 2.833467591425810122e-04 2.008645536458712744e-02 5.884163297937510755e+23 7.844809572201555132e-05
1.700000000000000178e+00 7.675151327055828232e-05 2.432066306218887142e-02 2.139238415295238206e+24 1.712056916298139138e-03
1.800000000000000266e+00 3.490156146444683158e-05 2.418393753461211063e-02 7.191805992299368364e+24 2.473757580150454452e-02
1.900000000000000133e+00 5.384003317771451878e-06 2.751204816475750006e-02 2.255846984066062858e+25 2.608600582615647201e-01
2.000000000000000000e+00 1.098654647357457558e-04 2.974531042254240434e-02 6.651683167453923991e+25 2.145642674081273515e+00
2.100000000000000089e+00 1.463941151272090194e-02 3.062247609874297477e-02 1.855493549862037022e+26 1.443481098115266370e+01
