1.000000000000000056e-01 5.167452656994853816e-03 3.042981374041683895e-02 0.000000000000000000e+00 4.004051883830176371e-03 2.729822141591251028e-01
3.000000000000000444e-01 8.661790652367171509e-03 2.024613245096759662e-02 0.000000000000000000e+00 1.990254351867099991e+06 1.791616128939465440e-03
5.000000000000000000e-01 9.646236897985181746e-03 2.053173774920891148e-02 0.000000000000000000e+00 2.086932947263386475e+12 2.141333197199706838e-06
7.000000000000000666e-01 1.295389578646917624e-02 1.969058392486151832e-02 0.000000000000000000e+00 6.939587828112550000e+15 7.829053441928706675e-11
9.000000000000000222e-01 3.402342739780435388e-02 2.044188642013763241e-02 0.000000000000000000e+00 2.188307802109652736e+18 2.245350598586890186e-20
1.100000000000000089e+00 3.605861952889563571e-02 1.946703128019287854e-02 0.000000000000000000e+00 1.898054458491415429e+20 2.245350598586940441e-20
1.300000000000000266e+00 9.480316424208750509e-03 2.188099141071618223e-02 0.000000000000000000e+00 7.276685246450964103e+21 7.829053441928913470e-11
1.500000000000000222e+00 1.128293353916207803e-03 2.227905895133655556e-02 0.000000000000000000e+00 1.588069052441605806e+23 2.141333197199720391e-06
1.700000000000000178e+00 7.449052374706809478e-05 2.634887586132196938e-02 0.000000000000000000e+00 2.294607041904931764e+24 1.791616128939475198e-03
1.900000000000000133e+00 5.317428315010222435e-06 3.047899757418108535e-02 0.000000000000000000e+00 2.419684658843230056e+25 2.729822141591252693e-01
2.100000000000000089e+00 1.129505983026914996e-02 3.183344193656303250e-02 0.000000000000000000e+00 1.990254351867092707e+26 1.510559603821149111e+01
